"","data_train_30$X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"1",1,1,0.766126609,45,2,0.802982129,9120,13,0,6,0,2
"2",6,0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1
"3",14,1,0.964672555,40,3,0.382964747,13700,9,3,1,1,2
"4",21,0,0.200923382,43,0,0.430046338,12300,10,0,2,0,0
"5",22,1,0.025655677,38,0,0.475841386,3000,7,0,1,0,2
"6",26,1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
"7",28,0,0.034421473,69,0,0.042383047,2500,17,0,0,0,1
"8",38,0,0.9999999,75,1,0.134078212,3400,1,0,1,0,1
"9",44,0,0.718705378,28,0,0.170125614,3661,4,0,0,0,1
"10",46,0,0.000602723,70,0,0.177787036,16800,12,0,1,0,2
"11",52,1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
"12",55,0,0.992015968,29,0,0.008064516,2231,1,0,0,0,0
"13",65,0,0.337520702,60,0,0.549877805,4500,10,0,2,0,0
"14",70,0,0.26948375,64,0,0.16106176,9455,13,0,1,0,3
"15",75,1,0.13306279,49,1,0.182881653,10257,9,0,2,0,3
"16",78,0,0.460376317,37,0,0.074155949,4975,6,0,0,0,0
"17",79,0,0.335558577,69,0,0.270448637,15000,14,0,2,0,1
"18",81,0,0.183316667,52,0,0.111131623,10833,14,0,2,0,1
"19",86,0,0,58,0,0.316144874,4886,9,0,1,0,1
"20",88,0,0.003749688,64,0,0.004061231,3200,5,0,0,1,0
"21",89,1,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
"22",95,0,0.791173628,44,0,0.51241535,3100,5,0,1,0,0
"23",106,0,0.114830941,46,0,0.026235802,6250,6,0,0,0,3
"24",121,0,0.51712072,31,0,0.123752495,500,3,0,0,0,0
"25",129,0,0.151912549,36,0,0.266394467,12000,22,0,2,0,0
"26",139,0,0.093962275,55,0,0.112051635,9450,6,0,2,0,0
"27",141,0,0.147996253,55,0,0.323088235,6799,5,0,1,0,0
"28",152,0,0.175932019,57,1,0.655812625,3500,9,0,1,0,1
"29",161,0,0,50,1,0.726566993,3477,5,0,1,0,1
"30",163,1,1.046279103,47,1,1.104301274,5416,6,0,2,0,1
"31",173,0,0.16653274,53,0,0.543625949,7506,11,0,3,0,3
"32",185,1,0.085338293,51,0,0.477503628,6200,11,0,1,0,0
"33",186,1,0,25,0,0.152896812,2916,3,0,0,1,0
"34",187,1,0.786485406,44,0,0.291709578,3883,7,2,0,2,1
"35",190,0,0.714980139,55,0,0.47090194,15000,12,0,2,0,3
"36",191,0,0.043032042,64,0,0.332016389,6833,14,0,2,0,0
"37",197,0,0.762158561,44,4,0.224465502,21000,5,0,1,0,3
"38",203,0,0.078738916,46,0,0.166215372,4800,6,0,1,0,4
"39",209,0,0.046640328,92,1,0.034326669,2650,13,0,0,0,0
"40",217,0,0.028113957,61,0,0.031349387,2200,12,0,0,0,0
"41",219,0,0.593985244,63,0,0.332698534,5250,4,0,2,0,0
"42",220,0,0.017508178,73,1,0.135589153,4166,12,0,1,0,0
"43",231,0,0,76,0,0.002465931,7704,3,0,0,0,0
"44",238,0,0.06037487,42,0,0.578676723,5833,17,0,2,0,2
"45",241,1,0.973339258,61,1,0.209961825,5500,11,0,0,1,1
"46",244,0,0.9999999,68,0,0.040493251,6000,0,0,0,0,0
"47",252,1,1.048210842,58,7,0.151956584,3500,12,0,0,0,0
"48",259,0,0,63,0,0.007988922,9387,9,0,0,0,0
"49",276,1,0.220823719,46,1,0.637749121,1705,5,0,0,0,0
"50",277,0,0.008099838,69,0,0.389895596,8332,3,0,1,0,0
"51",278,0,0,44,0,0.326383681,6666,4,0,2,0,1
"52",282,0,0.991667222,36,1,0.554878049,5411,10,0,2,0,1
"53",304,0,0.9999999,66,0,0.046633911,11600,2,0,0,0,1
"54",307,0,0.696411671,52,0,0.408871921,11000,11,0,1,0,4
"55",310,0,0.948762809,27,0,0.144948404,4166,5,0,0,0,0
"56",312,0,0.016598893,30,0,0.136575616,1500,5,0,0,0,0
"57",320,0,1.00264667,38,2,0.472542946,3550,8,1,0,1,4
"58",328,0,0.067259209,29,1,0.168340507,2090,3,0,0,0,0
"59",332,0,0.9999999,29,0,0,2274.46025941629,0,0,0,0,0
"60",334,0,0,29,0,0.193935355,3000,7,0,0,0,0
"61",335,1,0.03719769,47,0,0.03975841,25000,11,0,1,0,3
"62",345,1,0.880370887,43,0,0.461323764,7523,6,0,1,0,1
"63",349,0,0.360907571,72,0,0.356679286,3697,6,0,1,0,0
"64",351,1,0.635720859,68,1,0.218071277,25000,27,0,3,0,0
"65",361,0,0.143427862,67,0,0.119463561,5666,9,0,0,0,0
"66",374,0,0.082317351,64,0,0.214426305,8636,29,0,1,0,1
"67",375,0,0.292541492,74,0,0.164917541,2000,3,0,0,0,0
"68",378,1,0.739146488,63,1,0.285156885,6150,12,0,0,0,1
"69",379,0,0.186890655,54,0,0.655589124,3640,7,0,1,0,1
"70",385,0,0.017043518,43,0,0.10821382,2300,6,0,0,0,1
"71",398,0,0.742436041,52,0,0.414081023,9700,10,0,2,0,0
"72",407,0,0.9999999,35,1,0.092985318,3064,1,0,0,0,3
"73",411,0,0.026885902,36,0,0.344879921,11200,6,0,2,0,2
"74",415,0,0.07083751,64,0,0.255290785,6000,6,0,0,0,1
"75",421,1,0.733885463,49,2,0.369223765,8785,20,0,2,0,2
"76",424,1,0.991502124,61,10,1.2979007,3000,11,2,3,5,1
"77",439,0,0.026944485,41,0,0.686736475,4583,8,0,3,0,0
"78",443,0,0.922670104,40,0,0.207789429,9345,7,0,0,0,0
"79",446,0,0.008737352,68,0,0.209965006,6000,28,0,1,0,0
"80",447,0,0,57,0,0.785229953,6783,8,0,3,0,0
"81",458,0,0.023382944,84,0,0.00912845,4600,6,0,0,0,0
"82",467,0,0.077958915,57,0,0.053530226,6500,19,0,0,0,0
"83",468,0,0.205676486,57,0,0.130309575,8333,8,0,1,0,0
"84",469,1,0.9999999,32,0,0.006731051,3416,1,0,0,0,3
"85",470,1,0.57985084,42,0,0.594224361,2700,8,0,0,0,0
"86",471,0,0.073393457,38,1,0.384761524,10000,9,0,2,0,0
"87",474,0,0.745173448,68,0,0.168767792,4917,4,0,1,0,0
"88",495,0,0,75,0,0.205971968,1640,4,0,0,0,1
"89",496,0,0.993335555,31,0,0.068227425,4484,6,0,0,0,1
"90",506,1,0.9999999,54,0,0.228402866,2372,2,0,0,1,0
"91",507,0,0.290320472,48,0,0.262848568,7996,7,0,1,0,3
"92",510,0,0.9999999,91,0,0,6943.24419992892,3,0,0,0,0.029091697790227
"93",514,1,0.913140498,37,2,1.620344914,4000,16,0,3,0,1
"94",518,0,0.499666889,39,0,0.450171821,3200,8,0,1,0,0
"95",521,1,0.814154511,50,1,0.297139683,3600,8,0,1,1,1
"96",526,0,0.062093267,42,0,0.230261579,8333,6,0,1,0,4
"97",529,1,0.640058527,39,0,0.055984556,9841,9,0,0,0,2
"98",530,0,0.581815774,45,0,0.724784402,8000,11,0,2,0,0
"99",535,0,0.040186458,35,0,0.300839136,5600,8,0,2,0,1
"100",537,1,0.955545894,52,1,0.524949909,10480,11,0,3,0,1
"101",540,0,0.9543957,45,2,0.4842141,8836,10,0,1,0,1
"102",541,0,0.188256123,27,0,0.881825173,3900,6,0,1,0,1
"103",557,0,0,27,0,0,4500,5,0,0,0,0
"104",562,0,0.162077194,38,0,0.024885359,70000,6,0,1,0,2
"105",570,0,0.875440658,37,0,0.437717467,1436,5,0,0,0,1
"106",573,1,0.339503567,89,1,0.549380248,2500,9,3,0,1,0
"107",582,0,0.9999999,40,0,0.185755935,2400,1,2,0,0,0
"108",586,0,0.836294011,29,3,0.260170076,4350,8,0,1,0,1
"109",588,0,0.9999999,49,1,0.098937721,4800,1,0,0,0,4
"110",597,1,0.517045364,61,0,0.572590321,7500,20,0,2,0,0
"111",599,0,0.122976319,50,0,0.454103343,3289,6,0,1,0,1
"112",600,1,0.387065977,51,0,0.350874186,5833,12,0,1,2,1
"113",601,0,0.021741679,70,0,0.187762448,5000,11,0,1,0,0
"114",602,0,0.269257489,44,0,0.607594937,1500,7,0,0,0,3
"115",635,0,0.057887851,56,0,0.238127698,4400,13,0,1,0,1
"116",643,1,0.402345742,37,0,0.337622356,12667,16,0,2,0,3
"117",654,1,0.314685703,51,3,0.160317928,16984,13,0,2,1,4
"118",655,1,0.149314411,36,0,0.558320373,4500,9,0,3,0,0
"119",658,0,0.281115558,69,0,0.162186181,4500,10,0,0,0,1
"120",663,0,0.827151013,56,1,0.219974716,8700,8,0,0,1,1
"121",666,0,0.578849363,48,0,0.367553674,6613,10,0,1,0,1
"122",668,1,1.248751249,33,0,0.175120326,2700,3,2,0,0,0
"123",676,0,0.004595129,52,0,0.39095856,7166,7,0,1,0,0
"124",677,0,0.042534081,69,0,0.009690817,6500,4,0,0,0,1
"125",685,1,0.990764426,36,2,0.361340457,4117,4,0,0,0,1
"126",688,0,0.058687793,35,0,0.335733141,8333,6,0,2,0,2
"127",689,0,0.091106715,63,0,0.035418452,3500,5,0,0,0,0
"128",699,0,0.01239876,50,3,0.207518671,11916,4,0,1,0,0
"129",701,0,0.003938695,75,0,0.199949219,7876,11,0,2,0,0
"130",706,0,0.046747539,60,0,1.012368584,3233,13,0,2,0,0
"131",718,0,0.189734189,60,0,0.04587156,2833,2,0,0,0,0
"132",721,0,0.238016933,58,0,0.601017347,7666,5,0,3,0,0
"133",731,0,0.985092264,48,0,0.376905611,3082,4,0,1,0,0
"134",740,1,0.987668722,39,5,0.691279186,5010,14,0,2,0,2
"135",747,0,0.087182563,74,0,0.080495356,1291,6,0,0,0,0
"136",760,0,0.901509849,33,1,0.128132981,23100,8,1,1,0,0
"137",761,1,0.02331266,58,0,0.632371083,4052,13,1,2,0,0
